y,p_positive,p_negative
0,0.5768287,0.42317128
1,0.70922506,0.29077494
1,0.8672048,0.13279521
1,0.6249294,0.37507057
1,0.5747612,0.4252388
1,0.94412446,0.05587554
0,0.75465137,0.24534863
1,0.89275205,0.10724795
1,0.7173275,0.28267252
0,0.50376767,0.49623233
1,0.7855628,0.21443719
0,0.5330168,0.4669832
0,0.30200315,0.69799685
1,0.92286193,0.07713807
1,0.63515514,0.36484486
1,0.53294617,0.46705383
1,0.56665653,0.43334347
1,0.83316195,0.16683805
1,0.7214686,0.27853137
1,0.76873356,0.23126644
1,0.44965717,0.5503428
1,0.88585114,0.114148855
0,0.54818547,0.45181453
0,0.6245962,0.37540382
1,0.67253226,0.32746774
1,0.59055346,0.40944654
1,0.8067511,0.19324893
1,0.8770968,0.12290323
1,0.40666905,0.593331
1,0.5555613,0.4444387
1,0.683744,0.316256
0,0.3692679,0.63073206
0,0.62118477,0.37881523
1,0.9762815,0.023718476
1,0.7257813,0.27421868
1,0.95018023,0.049819767
0,0.65542024,0.34457976
1,0.8737836,0.12621641
1,0.86070377,0.13929623
1,0.50104475,0.49895525
0,0.54428643,0.45571357
0,0.89053893,0.10946107
1,0.9289132,0.071086824
1,0.6949721,0.3050279
1,0.6189856,0.3810144
0,0.3005003,0.6994997
1,0.87705815,0.12294185
0,0.5595861,0.4404139
0,0.69852036,0.30147964
0,0.53988165,0.46011835
1,0.77682394,0.22317606
1,0.8588311,0.14116889
0,0.7079335,0.2920665
1,0.8022145,0.1977855
0,0.8500044,0.14999563
0,0.58187014,0.41812986
1,0.8095146,0.19048542
1,0.543224,0.45677602
0,0.5433281,0.4566719
1,0.5276199,0.4723801
1,0.9759527,0.024047315
1,0.76423496,0.23576504
0,0.20767829,0.7923217
0,0.5307113,0.4692887
1,0.8555774,0.14442259
0,0.6123325,0.38766748
1,0.511494,0.48850602
1,0.7455716,0.2544284
1,0.9732881,0.026711881
0,0.43215585,0.56784415
0,0.5128987,0.48710132
1,0.4644176,0.5355824
1,0.90062946,0.09937054
1,0.8771681,0.12283188
0,0.38265517,0.61734486
0,0.6770266,0.32297337
1,0.86109954,0.13890046
1,0.67543185,0.32456815
0,0.41123378,0.5887662
1,0.954034,0.04596603
0,0.70815337,0.29184663
1,0.792866,0.20713401
0,0.41421166,0.58578837
0,0.88551533,0.11448467
1,0.4972676,0.5027324
1,0.72148275,0.27851725
1,0.62469655,0.37530345
1,0.49951053,0.5004895
1,0.8486194,0.1513806
1,0.6617926,0.33820742
1,0.6768955,0.3231045
1,0.70264614,0.29735386
1,0.53622836,0.46377164
1,0.7984042,0.20159578
1,0.57613903,0.42386097
0,0.5677281,0.4322719
1,0.7772122,0.2227878
0,0.2585225,0.7414775
1,0.7073154,0.2926846
0,0.63247925,0.36752075
0,0.51587224,0.48412776
1,0.77108055,0.22891945
1,0.79750276,0.20249724
1,0.55852336,0.44147664
1,0.5598198,0.44018018
1,0.7733201,0.22667992
0,0.5187795,0.48122048
0,0.7027406,0.2972594
1,0.78286994,0.21713006
0,0.525929,0.47407103
1,0.62091404,0.37908596
1,0.56950724,0.43049276
1,0.799548,0.20045203
1,0.5978152,0.40218478
1,0.5069442,0.49305582
1,0.7020714,0.29792857
0,0.3834357,0.6165643
0,0.5651208,0.43487918
1,0.73195785,0.26804215
1,0.6780481,0.32195193
1,0.6621372,0.3378628
1,0.49564365,0.5043564
1,0.86021954,0.13978046
1,0.55107063,0.44892937
1,0.9949098,0.005090177
1,0.6700687,0.32993132
1,0.57400006,0.42599994
1,0.862124,0.13787597
1,0.711499,0.28850102
1,0.6425331,0.35746688
0,0.67933357,0.32066643
1,0.8896915,0.11030853
0,0.5618538,0.43814617
1,0.5280793,0.47192073
1,0.60906374,0.39093626
1,0.7264577,0.27354228
1,0.8141823,0.18581772
1,0.8132892,0.18671077
0,0.5412191,0.45878088
1,0.6004351,0.39956492
0,0.22097974,0.77902025
1,0.56948084,0.43051916
0,0.4742098,0.5257902
1,0.44971964,0.55028033
1,0.5529973,0.4470027
0,0.5338231,0.46617693
1,0.7429668,0.25703323
1,0.9150979,0.08490211
1,0.601231,0.39876902
0,0.74436164,0.25563836
1,0.45236316,0.54763687
1,0.536522,0.46347803
1,0.6899464,0.3100536
1,0.91213435,0.08786565
1,0.9138184,0.08618158
0,0.7786936,0.22130638
1,0.40489522,0.5951048
1,0.60942113,0.39057887
1,0.58833134,0.41166866
0,0.48094952,0.5190505
1,0.40207294,0.5979271
1,0.83973086,0.16026914
1,0.58431685,0.41568315
1,0.70121497,0.29878503
1,0.6572937,0.34270632
1,0.6017278,0.39827222
1,0.5901815,0.40981847
0,0.63056654,0.36943346
1,0.6406382,0.35936183
0,0.57240623,0.42759377
0,0.6778506,0.3221494
1,0.7528756,0.24712437
0,0.78579307,0.21420693
1,0.42206153,0.57793844
0,0.60373116,0.39626884
1,0.46411788,0.5358821
1,0.87558377,0.12441623
0,0.69499487,0.30500513
1,0.87730783,0.12269217
1,0.5989663,0.4010337
0,0.7615901,0.23840988
1,0.50381905,0.49618095
1,0.42826122,0.5717388
1,0.69883,0.30117
0,0.37592903,0.624071
1,0.59855616,0.40144384
1,0.9714552,0.028544784
0,0.5318571,0.46814293
1,0.63518476,0.36481524
1,0.5228608,0.47713917
1,0.8309396,0.16906041
1,0.8814421,0.11855787
1,0.41494012,0.5850599
1,0.49433523,0.50566477
0,0.58064735,0.41935265
1,0.83579254,0.16420746
0,0.7183158,0.28168422
1,0.4849054,0.51509464
1,0.61363214,0.38636786
1,0.5224077,0.4775923
0,0.79653424,0.20346576
0,0.6595916,0.34040838
1,0.6919525,0.30804747
0,0.51098406,0.48901594
1,0.68660194,0.31339806
1,0.5058963,0.49410373
1,0.7525014,0.24749857
0,0.5021811,0.4978189
0,0.48489976,0.51510024
0,0.7445552,0.25544482
1,0.6792596,0.3207404
1,0.9820816,0.017918408
1,0.5626378,0.4373622
1,0.87480605,0.12519395
1,0.524825,0.47517502
1,0.44570357,0.55429643
1,0.6974973,0.3025027
1,0.6184461,0.3815539
0,0.52961314,0.47038686
0,0.18947747,0.81052256
1,0.88495696,0.115043044
1,0.7661128,0.2338872
1,0.79314464,0.20685536
1,0.8271781,0.17282188
1,0.70796096,0.29203904
1,0.9567451,0.043254912
1,0.68841475,0.31158525
1,0.7772309,0.22276908
1,0.7289922,0.27100778
1,0.8373595,0.16264051
1,0.68755955,0.31244045
1,0.81288075,0.18711925
0,0.6872216,0.3127784
1,0.9849031,0.015096903
1,0.36613467,0.63386536
1,0.7445578,0.2554422
1,0.49539682,0.50460315
0,0.57699925,0.42300075
0,0.4980656,0.5019344
1,0.6587832,0.3412168
1,0.42407247,0.5759275
0,0.5926876,0.4073124
0,0.60594964,0.39405036
1,0.5589233,0.4410767
1,0.8475229,0.15247709
1,0.76670223,0.23329777
1,0.69614893,0.30385107
1,0.929641,0.07035899
0,0.62650824,0.37349176
1,0.79481006,0.20518994
1,0.6395409,0.3604591
0,0.76448715,0.23551285
0,0.5218482,0.4781518
1,0.82199883,0.17800117
1,0.6080917,0.3919083
0,0.52419305,0.47580695
1,0.57695377,0.42304623
0,0.41315424,0.58684576
1,0.72750837,0.27249163
1,0.7866266,0.21337342
0,0.4836922,0.51630783
0,0.64796627,0.35203373
1,0.55579865,0.44420135
1,0.4968522,0.50314784
0,0.48644942,0.5135506
1,0.58029646,0.41970354
1,0.70057166,0.29942834
1,0.81642526,0.18357474
0,0.53359485,0.46640515
0,0.42595768,0.5740423
1,0.54963756,0.45036244
0,0.5144096,0.4855904
1,0.56663334,0.43336666
0,0.5908142,0.40918583
1,0.58332163,0.41667837
0,0.6715283,0.32847172
1,0.4800943,0.5199057
1,0.74961656,0.25038344
1,0.6028414,0.39715862
0,0.4304908,0.5695092
1,0.71854496,0.28145504
1,0.5364139,0.4635861
1,0.7240265,0.2759735
1,0.9989748,0.0010251999
1,0.54140306,0.45859694
1,0.672201,0.32779902
1,0.80407745,0.19592255
1,0.8107436,0.18925643
0,0.5771809,0.42281908
1,0.5697384,0.4302616
1,0.34961253,0.65038747
0,0.9007556,0.099244416
0,0.4437226,0.5562774
1,0.6139811,0.38601887
0,0.64877313,0.35122687
1,0.76950884,0.23049116
1,0.79850954,0.20149046
1,0.6488638,0.3511362
1,0.9470056,0.05299437
0,0.54945475,0.45054525
1,0.9336421,0.06635791
1,0.7601884,0.2398116
1,0.5913033,0.4086967
1,0.39583254,0.60416746
1,0.77757424,0.22242576
1,0.8495273,0.1504727
1,0.81035745,0.18964255
1,0.94404155,0.05595845
1,0.5702609,0.42973912
1,0.7047492,0.29525077
1,0.8863371,0.1136629
0,0.66792303,0.33207697
1,0.9409457,0.059054315
1,0.47077817,0.52922183
0,0.52223146,0.47776854
1,0.43155333,0.56844664
1,0.4847222,0.5152778
1,0.6345724,0.3654276
0,0.76579875,0.23420125
0,0.69458634,0.30541366
1,0.7020546,0.29794538
1,0.8222916,0.17770839
1,0.490342,0.509658
1,0.53689736,0.46310264
0,0.61834556,0.38165444
1,0.87994635,0.12005365
1,0.4249629,0.5750371
0,0.64455384,0.35544616
1,0.4942358,0.5057642
1,0.9775439,0.02245611
1,0.79563445,0.20436555
1,0.7243169,0.2756831
1,0.6261596,0.3738404
1,0.9400646,0.05993539
1,0.90541905,0.09458095
1,0.63633496,0.36366504
0,0.44591272,0.5540873
1,0.52559733,0.47440267
1,0.79019386,0.20980614
0,0.56313884,0.43686116
0,0.5323693,0.46763068
1,0.82652575,0.17347425
0,0.50906456,0.49093544
1,0.66039205,0.33960795
1,0.51891685,0.48108315
0,0.28621215,0.71378785
1,0.7497217,0.2502783
1,0.53143215,0.46856785
1,0.7283325,0.27166748
0,0.5188795,0.48112053
1,0.8934192,0.106580794
1,0.69114214,0.30885786
0,0.7598641,0.24013591
0,0.5931822,0.4068178
1,0.5211264,0.4788736
1,0.4415088,0.55849123
1,0.4313388,0.5686612
1,0.65795654,0.34204346
0,0.6894814,0.31051862
1,0.8723947,0.12760532
1,0.8877094,0.11229062
1,0.9722606,0.027739406
1,0.34085476,0.65914524
1,0.5824106,0.41758943
1,0.7685876,0.23141241
1,0.7618882,0.2381118
1,0.8012233,0.19877672
1,0.58963406,0.41036594
0,0.5319142,0.46808583
0,0.6450191,0.3549809
1,0.88723564,0.11276436
0,0.47542122,0.5245788
0,0.65639955,0.34360045
1,0.7918883,0.2081117
0,0.6723646,0.3276354
1,0.53467417,0.46532583
1,0.87856877,0.12143123
1,0.75364774,0.24635226
1,0.7485695,0.2514305
1,0.4813125,0.5186875
1,0.84302306,0.15697694
1,0.49410138,0.5058986
1,0.5248196,0.4751804
0,0.6218744,0.3781256
1,0.7723973,0.22760272
1,0.67288876,0.32711124
1,0.68437374,0.31562626
1,0.9456044,0.054395616
1,0.8030588,0.1969412
1,0.5596324,0.44036758
1,0.63921374,0.36078626
1,0.77567726,0.22432274
0,0.5447336,0.45526642
0,0.50285965,0.49714035
0,0.54563737,0.45436263
0,0.48840585,0.5115942
0,0.5706658,0.42933422
0,0.6211845,0.37881547
1,0.7770483,0.22295171
0,0.60630834,0.39369166
1,0.61494523,0.38505477
1,0.7908105,0.20918947
1,0.82252294,0.17747706
1,0.6590271,0.3409729
1,0.961243,0.038757026
1,0.62554634,0.37445366
0,0.3299917,0.6700083
1,0.7734755,0.22652447
0,0.32683945,0.67316055
1,0.7331441,0.2668559
1,0.54106605,0.45893395
1,0.63603795,0.36396205
0,0.5429863,0.45701373
1,0.77839595,0.22160405
1,0.657093,0.342907
0,0.8043765,0.19562352
0,0.45110205,0.548898
0,0.8167615,0.1832385
0,0.61400205,0.38599795
1,0.8141614,0.18583858
1,0.82844335,0.17155665
0,0.59411377,0.40588623
1,0.7191666,0.28083342
0,0.6830066,0.31699342
1,0.4955389,0.5044611
1,0.5589117,0.44108832
0,0.7803375,0.21966249
1,0.6610845,0.33891553
1,0.4846917,0.51530826
1,0.61957985,0.38042015
0,0.54035413,0.45964587
0,0.29853418,0.70146585
0,0.80932707,0.19067293
0,0.52101046,0.47898954
0,0.47300622,0.52699375
1,0.6195953,0.3804047
1,0.5897706,0.41022938
1,0.2919414,0.7080586
1,0.8106465,0.18935353
1,0.78231114,0.21768886
1,0.8138078,0.18619221
1,0.55339134,0.44660866
1,0.70449233,0.29550767
0,0.56328475,0.43671525
1,0.76242524,0.23757476
1,0.79437065,0.20562935
0,0.49247268,0.50752735
1,0.7418885,0.25811148
1,0.67581975,0.32418025
0,0.82304597,0.17695403
1,0.99467975,0.005320251
0,0.62528694,0.37471306
0,0.6150736,0.38492638
0,0.75312567,0.24687433
0,0.6657341,0.3342659
0,0.60584706,0.39415294
1,0.4058065,0.59419346
1,0.542915,0.457085
0,0.6924586,0.30754137
1,0.9330496,0.06695038
1,0.74811125,0.25188875
1,0.9410822,0.05891782
1,0.5671349,0.43286508
1,0.78509015,0.21490985
1,0.7678156,0.23218441
0,0.58705974,0.41294026
1,0.86813664,0.13186336
0,0.85661066,0.14338934
0,0.83526534,0.16473466
1,0.7334295,0.2665705
1,0.5194961,0.48050392
1,0.8028066,0.19719338
1,0.6253811,0.3746189
1,0.8179017,0.18209833
1,0.6393559,0.3606441
1,0.73481846,0.26518154
1,0.85111845,0.14888155
1,0.5106258,0.48937422
0,0.402465,0.597535
1,0.6705539,0.32944608
1,0.8389761,0.16102391
1,0.52325094,0.47674906
0,0.56792,0.43207997
1,0.9039123,0.096087694
0,0.4771233,0.52287674
1,0.6372481,0.3627519
1,0.96659154,0.033408463
0,0.5670942,0.4329058
1,0.9043132,0.09568679
0,0.8294329,0.1705671
0,0.34596753,0.65403247
1,0.73668844,0.26331156
1,0.43447235,0.5655277
0,0.6892107,0.3107893
1,0.64140725,0.35859275
0,0.8406219,0.15937811
0,0.6519168,0.3480832
0,0.5036885,0.4963115
1,0.86111504,0.13888496
1,0.6845091,0.3154909
1,0.9287174,0.071282625
1,0.80784035,0.19215965
0,0.54141515,0.45858485
1,0.5453442,0.45465583
0,0.632887,0.367113
1,0.647142,0.352858
0,0.5500945,0.4499055
1,0.98966074,0.01033926
1,0.65322995,0.34677005
1,0.622619,0.37738103
1,0.89314336,0.106856644
1,0.5440522,0.45594782
0,0.90921336,0.090786636
0,0.70668834,0.29331166
1,0.92270875,0.07729125
1,0.43933854,0.56066144
0,0.581519,0.418481
1,0.7650863,0.2349137
1,0.77107203,0.22892797
1,0.5141585,0.4858415
1,0.99156004,0.008439958
1,0.8458051,0.15419489
0,0.56135684,0.43864316
0,0.9336696,0.06633037
1,0.8139612,0.18603879
1,0.8048284,0.1951716
0,0.60064834,0.39935166
1,0.5348981,0.4651019
0,0.56650037,0.43349963
0,0.568322,0.431678
1,0.79150087,0.20849913
1,0.63853633,0.36146367
1,0.85339296,0.14660704
0,0.60934514,0.39065486
0,0.75238544,0.24761456
1,0.55912024,0.44087976
1,0.71109843,0.28890157
0,0.4228347,0.5771653
0,0.73777264,0.26222736
1,0.9303686,0.0696314
1,0.4154118,0.58458817
1,0.7935039,0.20649612
0,0.4154383,0.5845617
1,0.74868745,0.25131255
1,0.8130164,0.18698359
1,0.48601627,0.5139837
1,0.71503234,0.28496766
0,0.62598264,0.37401736
1,0.6716079,0.3283921
0,0.53998744,0.46001256
0,0.8196782,0.18032181
0,0.4727733,0.5272267
0,0.5594543,0.44054568
1,0.67800856,0.32199144
0,0.44059637,0.55940366
1,0.86683613,0.13316387
0,0.46871084,0.53128916
1,0.42148003,0.57851994
1,0.9151105,0.08488947
1,0.6604997,0.3395003
1,0.7972476,0.20275241
0,0.6804881,0.3195119
1,0.57043016,0.42956984
1,0.7918876,0.20811242
0,0.65137833,0.34862167
1,0.6736233,0.32637668
1,0.71453464,0.28546536
0,0.49574476,0.50425524
1,0.7497808,0.25021923
0,0.50479275,0.49520725
1,0.5444617,0.45553827
1,0.41232213,0.58767784
1,0.6244886,0.3755114
1,0.7068442,0.2931558
0,0.36194605,0.63805395
1,0.41844088,0.5815591
1,0.5412429,0.4587571
1,0.5126782,0.4873218
1,0.7094905,0.29050952
0,0.5960447,0.40395528
0,0.85860115,0.14139885
1,0.523919,0.476081
0,0.61799103,0.38200897
0,0.6879688,0.3120312
1,0.8074015,0.19259852
1,0.46375895,0.53624105
1,0.51799875,0.48200125
1,0.59778494,0.40221506
1,0.53691,0.46309
0,0.37784973,0.6221503
1,0.9515841,0.0484159
0,0.55490655,0.44509345
1,0.51725066,0.48274934
1,0.62812304,0.37187696
1,0.819225,0.18077499
0,0.20998667,0.7900133
0,0.7258552,0.27414483
0,0.6457185,0.35428149
0,0.63606673,0.36393327
1,0.78016764,0.21983236
0,0.63550365,0.36449635
1,0.694198,0.305802
0,0.19570434,0.80429566
0,0.47373298,0.52626705
0,0.80279267,0.19720733
1,0.8241214,0.17587858
1,0.83392894,0.16607106
0,0.6199292,0.3800708
1,0.7591346,0.24086541
0,0.5424681,0.45753193
1,0.6089987,0.39100128
1,0.34695256,0.65304744
1,0.6254211,0.3745789
0,0.6549505,0.3450495
1,0.51125157,0.48874843
1,0.9991935,0.00080651045
0,0.57035017,0.42964983
1,0.8308554,0.16914457
1,0.43854856,0.56145144
0,0.2978031,0.7021969
1,0.64684343,0.35315657
0,0.32384053,0.6761595
1,0.94667345,0.053326547
0,0.4850559,0.5149441
0,0.72730213,0.27269787
0,0.59547395,0.40452605
0,0.54891706,0.45108294
0,0.3234697,0.6765303
0,0.58377945,0.41622055
1,0.5027197,0.4972803
1,0.88820994,0.11179006
0,0.54158866,0.45841134
1,0.43530944,0.5646906
0,0.50975376,0.49024624
1,0.65594596,0.34405404
0,0.5403961,0.4596039
1,0.78141844,0.21858156
0,0.49103373,0.50896627
0,0.580996,0.41900402
1,0.9395956,0.06040442
1,0.6509227,0.34907728
1,0.60971695,0.39028305
1,0.6579633,0.34203672
0,0.44470677,0.5552932
1,0.9992175,0.0007824898
1,0.70534194,0.29465806
0,0.36202228,0.6379777
1,0.48322645,0.5167736
1,0.71102965,0.28897035
1,0.5549736,0.4450264
0,0.7317629,0.2682371
1,0.7297249,0.27027512
0,0.5590213,0.4409787
0,0.86952704,0.13047296
0,0.73109174,0.26890826
0,0.68207353,0.31792647
0,0.4456284,0.5543716
1,0.877847,0.122152984
1,0.9369992,0.0630008
0,0.50349325,0.49650675
1,0.78467435,0.21532565
1,0.7960158,0.2039842
0,0.5902284,0.40977162
1,0.5597786,0.44022143
0,0.5695547,0.4304453
0,0.5575048,0.44249523
1,0.7431281,0.25687188
1,0.78556854,0.21443146
1,0.6623818,0.33761817
1,0.5752728,0.4247272
0,0.31689635,0.6831037
1,0.7636516,0.23634839
1,0.77936804,0.22063196
1,0.8040493,0.19595069
1,0.9561872,0.04381281
0,0.49061695,0.5093831
0,0.6830357,0.31696433
0,0.43314078,0.56685925
1,0.6822343,0.3177657
0,0.8114463,0.18855369
0,0.8410672,0.1589328
0,0.5927616,0.40723842
1,0.789471,0.21052903
1,0.5594064,0.4405936
1,0.67224056,0.32775944
1,0.8711111,0.1288889
0,0.5519448,0.4480552
1,0.58448184,0.41551816
1,0.53555965,0.46444035
1,0.6456196,0.35438043
0,0.51384914,0.48615086
1,0.5816295,0.4183705
1,0.9139135,0.08608651
1,0.94667584,0.053324163
1,0.56059915,0.43940085
1,0.5335947,0.46640527
1,0.8882179,0.111782074
0,0.48092592,0.5190741
0,0.56619453,0.43380547
0,0.5380019,0.4619981
0,0.48787406,0.51212597
0,0.67348033,0.32651967
1,0.8499401,0.15005988
0,0.5337813,0.4662187
0,0.63182366,0.36817634
1,0.48480213,0.5151979
1,0.5570755,0.4429245
0,0.53433794,0.46566206
1,0.9755613,0.02443868
1,0.5292918,0.4707082
1,0.29236805,0.70763195
0,0.8356016,0.16439837
1,0.6805474,0.31945258
1,0.56177837,0.43822163
0,0.7259127,0.2740873
1,0.6925067,0.30749333
1,0.53929234,0.46070766
1,0.6228464,0.37715358
1,0.49171185,0.50828815
1,0.77594393,0.22405607
0,0.67109585,0.32890415
0,0.6816605,0.31833953
1,0.9188044,0.08119559
1,0.77063525,0.22936475
1,0.6321869,0.3678131
0,0.83623177,0.16376823
0,0.8622468,0.13775319
1,0.90019226,0.09980774
1,0.7048826,0.29511738
1,0.84408325,0.15591675
0,0.5507121,0.4492879
1,0.92592824,0.074071765
0,0.4946742,0.5053258
1,0.76954395,0.23045605
1,0.532107,0.467893
1,0.99065346,0.009346545
1,0.8538139,0.14618611
0,0.39138135,0.6086186
1,0.8078172,0.19218278
1,0.87914836,0.120851636
0,0.44256064,0.5574393
1,0.6921582,0.30784178
1,0.7175817,0.2824183
1,0.7657819,0.23421812
0,0.545615,0.45438498
0,0.47146505,0.52853495
0,0.574875,0.425125
1,0.820336,0.17966402
1,0.82964915,0.17035085
0,0.730293,0.26970702
1,0.6775455,0.3224545
1,0.8263125,0.17368752
1,0.99089676,0.009103239
1,0.6860164,0.31398362
0,0.5555921,0.44440788
0,0.49494156,0.5050584
1,0.7656493,0.23435068
1,0.79713655,0.20286345
1,0.55348086,0.44651914
0,0.5266371,0.47336292
0,0.6021906,0.3978094
0,0.45986274,0.5401373
1,0.65023863,0.34976137
1,0.7010226,0.29897738
0,0.5201065,0.4798935
1,0.6670953,0.3329047
1,0.5781237,0.4218763
0,0.73822385,0.26177615
1,0.508115,0.491885
0,0.470517,0.52948296
1,0.6300017,0.36999828
1,0.46718907,0.5328109
1,0.8592939,0.14070612
1,0.9964529,0.0035470724
0,0.4781503,0.5218497
1,0.6954249,0.3045751
0,0.51397103,0.48602897
1,0.9775039,0.022496104
1,0.9474986,0.05250138
1,0.90312064,0.09687936
0,0.47557402,0.524426
1,0.78396386,0.21603614
0,0.91929245,0.08070755
1,0.6100072,0.38999277
1,0.5109519,0.48904812
1,0.57893175,0.42106825
0,0.30533075,0.69466925
1,0.7783287,0.22167128
1,0.6576406,0.34235942
1,0.7508232,0.2491768
1,0.6073538,0.3926462
0,0.7146773,0.28532273
1,0.923527,0.076473
1,0.9591112,0.040888786
1,0.5755734,0.42442662
1,0.8798409,0.12015909
0,0.303934,0.696066
1,0.78173316,0.21826684
1,0.95406306,0.045936942
0,0.5158761,0.4841239
0,0.19901301,0.800987
0,0.78837913,0.21162087
1,0.53681904,0.46318096
1,0.73135906,0.26864094
0,0.56631744,0.43368256
0,0.5807144,0.4192856
1,0.5870714,0.41292858
1,0.9967669,0.0032330751
1,0.7052526,0.2947474
1,0.55740017,0.44259983
0,0.6900903,0.3099097
0,0.3629253,0.6370747
0,0.5277678,0.47223222
1,0.95901436,0.040985644
0,0.61081296,0.38918704
1,0.7880339,0.2119661
0,0.67631876,0.32368124
0,0.634975,0.36502498
0,0.4851747,0.51482534
1,0.7956426,0.20435739
0,0.908099,0.091901004
1,0.5671826,0.4328174
1,0.8923565,0.107643485
0,0.51798064,0.48201936
1,0.79682356,0.20317644
1,0.9192742,0.08072579
0,0.5608218,0.43917823
1,0.83640486,0.16359514
1,0.6497396,0.35026038
1,0.98822135,0.011778653
1,0.88242924,0.11757076
